object_part,method,seed_count,view_count,axis_error_deg_mean,axis_error_deg_sd,axis_error_ci95,center_error_m_mean,center_error_m_sd,angle_error_deg_mean,angle_error_deg_sd,center_ci95_m,p_vs_mask_gs
药箱门,Ours,5,18,2.8,1.1,"[1.9,3.7]",0.006,0.003,1.9,0.8,"[0.004,0.009]",p=0.018
微波炉门,Ours,5,20,3.6,1.4,"[2.5,4.7]",0.009,0.004,2.4,1.1,"[0.006,0.012]",p=0.021
