task,method,round,seed_count,candidate_rollouts,accepted_rollouts,acceptance_rate_pct,rejected_rollouts,total_rejection_rate_pct,success_trials,total_trials,incremental_success_rate_pct,ci95,coverage_index_mean,action_smoothness_mean
Microwave door,Scene-Aug w/o structure,5,5,800,578,72.2,222,27.8,77,100,77,"[67.8,84.2]",0.62,0.582
Microwave door,Scene-Aug w/o structure,6,5,840,611,72.7,229,27.3,78,100,78,"[68.9,85.0]",0.639,0.582
Microwave door,Sparse-only,0,5,0,0,—,0,—,70,100,70,"[60.4,78.1]",0.311,0.654
Microwave door,Sparse-only,1,5,0,0,—,0,—,71,100,71,"[61.5,79.0]",0.311,0.625
Microwave door,Sparse-only,2,5,0,0,—,0,—,70,100,70,"[60.4,78.1]",0.308,0.616
Microwave door,Sparse-only,3,5,0,0,—,0,—,72,100,72,"[62.5,79.9]",0.297,0.629
Microwave door,Sparse-only,4,5,0,0,—,0,—,72,100,72,"[62.5,79.9]",0.291,0.617
Microwave door,Sparse-only,5,5,0,0,—,0,—,71,100,71,"[61.5,79.0]",0.306,0.626
Microwave door,Sparse-only,6,5,0,0,—,0,—,72,100,72,"[62.5,79.9]",0.3,0.619
Multi-step retrieval,Ours,0,5,600,467,77.8,133,22.2,69,100,69,"[59.4,77.2]",0.444,0.644
Multi-step retrieval,Ours,1,5,640,543,84.8,97,15.2,75,100,75,"[65.7,82.5]",0.583,0.58
Multi-step retrieval,Ours,2,5,680,604,88.8,76,11.2,79,100,79,"[70.0,85.8]",0.703,0.532
Multi-step retrieval,Ours,3,5,720,669,92.9,51,7.1,79,100,79,"[70.0,85.8]",0.731,0.525
Multi-step retrieval,Ours,4,5,760,709,93.3,51,6.7,80,100,80,"[71.1,86.7]",0.788,0.487
Multi-step retrieval,Ours,5,5,800,749,93.6,51,6.4,80,100,80,"[71.1,86.7]",0.823,0.495
Multi-step retrieval,Ours,6,5,840,782,93.1,58,6.9,81,100,81,"[72.2,87.5]",0.837,0.487
Multi-step retrieval,Random-Aug,0,5,600,232,38.7,368,61.3,70,100,70,"[60.4,78.1]",0.341,0.63
Multi-step retrieval,Random-Aug,1,5,640,256,40.0,384,60.0,69,100,69,"[59.4,77.2]",0.394,0.629
Multi-step retrieval,Random-Aug,2,5,680,288,42.4,392,57.6,66,100,66,"[56.3,74.5]",0.444,0.631
Multi-step retrieval,Random-Aug,3,5,720,309,42.9,411,57.1,66,100,66,"[56.3,74.5]",0.459,0.624
Multi-step retrieval,Random-Aug,4,5,760,365,48.0,395,52.0,68,100,68,"[58.3,76.3]",0.492,0.629
Multi-step retrieval,Random-Aug,5,5,800,371,46.4,429,53.6,66,100,66,"[56.3,74.5]",0.497,0.629
Multi-step retrieval,Random-Aug,6,5,840,388,46.2,452,53.8,67,100,67,"[57.3,75.4]",0.492,0.612
Multi-step retrieval,Scene-Aug w/o structure,0,5,600,387,64.5,213,35.5,69,100,69,"[59.4,77.2]",0.391,0.653
Multi-step retrieval,Scene-Aug w/o structure,1,5,640,443,69.2,197,30.8,71,100,71,"[61.5,79.0]",0.475,0.616
