scene,seed_count,holdout_views,psnr_mean,psnr_sd,ssim_mean,ssim_sd,lpips_mean,lpips_sd,mask_iou_mean,mask_iou_sd,psnr_ci95,p_vs_vanilla_gs
1,3,12,28.7,0.6,0.913,0.01,0.094,0.009,0.887,0.014,"[28.0,29.4]",p=0.012
2,3,22,30.1,0.6,0.928,0.01,0.081,0.009,0.912,0.014,"[29.4,30.8]",p=0.012
3,3,1,25.6,0.9,0.861,0.017,0.143,0.014,0.842,0.022,"[24.6,26.6]",p=0.018
4,3,11,29.3,0.6,0.919,0.01,0.088,0.009,0.901,0.014,"[28.6,30.0]",p=0.012
5,3,10,28.9,0.6,0.916,0.01,0.092,0.009,0.894,0.014,"[28.2,29.6]",p=0.012
6,3,5,27.6,0.6,0.897,0.01,0.106,0.009,0.873,0.014,"[26.9,28.3]",p=0.012
7,3,5,27.9,0.6,0.903,0.01,0.101,0.009,0.881,0.014,"[27.2,28.6]",p=0.012
8,3,1,24.8,0.9,0.844,0.017,0.151,0.014,0.829,0.022,"[23.8,25.8]",p=0.018
9,3,2,26.2,0.9,0.875,0.017,0.132,0.014,0.856,0.022,"[25.2,27.2]",p=0.018
